ID,Amount.Requested,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance
81174,20000,8.90%,36 months,14.90%,MORTGAGE,6541.67,735,14,14272
99592,19200,12.12%,36 months,28.36%,MORTGAGE,4583.33,715,12,11140
80059,35000,21.98%,60 months,23.81%,MORTGAGE,11500,690,14,21977
15825,10000,9.99%,36 months,14.30%,MORTGAGE,3833.33,695,10,9346
33182,12000,11.71%,36 months,18.78%,RENT,3195,695,11,14469
62403,6000,15.31%,36 months,20.05%,OWN,4891.67,670,17,10391
48808,10000,7.90%,36 months,26.09%,RENT,2916.67,720,10,15957
22090,33500,17.14%,60 months,14.70%,MORTGAGE,13863.42,705,12,27874
76404,14675,14.33%,36 months,26.92%,RENT,3150,685,9,7246
15867,.,6.91%,36 months,7.10%,RENT,5000,715,8,7612
94971,2000,19.72%,36 months,10.29%,RENT,3575,670,10,12036
36911,10625,14.27%,36 months,12.54%,MORTGAGE,4250,665,14,10767
41200,28000,21.67%,60 months,13.07%,MORTGAGE,14166.67,670,12,10311
83869,35000,8.90%,36 months,20.46%,RENT,9166.67,735,19,21536
53853,9600,7.62%,36 months,3.45%,RENT,11250,725,13,4606
21399,25000,15.65%,60 months,21.99%,RENT,5416.67,730,6,13929
62127,10000,12.12%,36 months,17.72%,RENT,9000,695,18,20317
23446,14000,10.37%,60 months,11.95%,RENT,4333.33,740,6,7419
44987,10000,9.76%,36 months,7.13%,RENT,2733.33,730,7,6112
17977,5200,9.99%,60 months,10.29%,MORTGAGE,3750,760,10,16094
86099,22000,21.98%,36 months,11.19%,MORTGAGE,6666.67,665,9,23124
99483,30000,19.05%,60 months,21.25%,MORTGAGE,6250,695,12,34927
28798,6500,17.99%,60 months,19.63%,RENT,4100,665,11,11697
24168,17400,11.99%,36 months,12.47%,RENT,6833.33,695,7,26587
10356,4000,16.82%,60 months,13.71%,MORTGAGE,4500,670,5,20804
46027,7200,7.90%,36 months,24.82%,RENT,5416.67,705,8,12017
2238,8000,14.42%,36 months,24.63%,RENT,2964.17,675,9,8928
65278,8000,15.31%,36 months,15.46%,MORTGAGE,2916.67,675,.,7152
4227,3000,8.59%,36 months,3.72%,MORTGAGE,4167,765,4,7074
50182,14500,7.90%,36 months,4.85%,MORTGAGE,3958.33,760,4,9598
87023,23850,21.00%,60 months,28.81%,MORTGAGE,5833.33,685,19,25968
46120,14000,12.12%,36 months,14.93%,MORTGAGE,10583.33,685,9,35457
30756,35000,16.49%,60 months,7.45%,MORTGAGE,10416.67,720,7,31414
94582,16000,15.80%,60 months,11.94%,RENT,5250,685,14,154
457,17350,13.55%,36 months,18.52%,OWN,3666.67,675,8,18966
96536,8000,7.90%,36 months,29.62%,MORTGAGE,5583.33,780,9,6065
39591,7200,7.90%,36 months,7.98%,RENT,5666.67,720,5,8783
78862,20125,7.62%,36 months,4.29%,MORTGAGE,3750,830,13,73952
54619,12000,8.90%,36 months,12.06%,RENT,5000,715,11,14717
101798,.,12.49%,36 months,20.56%,MORTGAGE,3448.33,660,10,18749
